t,m_req,redundancy
1.60800000,18,2.77777778
1.61000000,18,2.77777778
1.61200000,17,2.94117647
1.61400000,17,2.94117647
1.61600000,17,2.94117647
1.61800000,16,3.12500000
1.62000000,16,3.12500000
1.62200000,15,3.33333333
1.62400000,15,3.33333333
1.62600000,15,3.33333333
1.62800000,14,3.57142857
1.63000000,14,3.57142857
1.63200000,14,3.57142857
1.63400000,13,3.84615385
1.63600000,13,3.84615385
1.63800000,12,4.16666667
1.64000000,12,4.16666667
1.64200000,12,4.16666667
1.64400000,11,4.54545455
1.64600000,11,4.54545455
1.64800000,11,4.54545455
1.65000000,11,4.54545455
1.65200000,10,5.00000000
1.65400000,10,5.00000000
1.65600000,10,5.00000000
1.65800000,10,5.00000000
1.66000000,10,5.00000000
1.66200000,10,5.00000000
1.66400000,9,5.55555556
1.66600000,9,5.55555556
1.66800000,9,5.55555556
1.67000000,9,5.55555556
1.67200000,9,5.55555556
1.67400000,9,5.55555556
1.67600000,9,5.55555556
1.67800000,8,6.25000000
1.68000000,8,6.25000000
1.68200000,8,6.25000000
1.68400000,8,6.25000000
1.68600000,8,6.25000000
1.68800000,8,6.25000000
1.69000000,8,6.25000000
1.69200000,8,6.25000000
1.69400000,7,7.14285714
1.69600000,7,7.14285714
1.69800000,7,7.14285714
1.70000000,7,7.14285714
1.70200000,7,7.14285714
1.70400000,7,7.14285714
1.70600000,7,7.14285714
1.70800000,7,7.14285714
1.71000000,7,7.14285714
1.71200000,7,7.14285714
1.71400000,7,7.14285714
1.71600000,7,7.14285714
1.71800000,6,8.33333333
1.72000000,6,8.33333333
1.72200000,6,8.33333333
1.72400000,6,8.33333333
1.72600000,6,8.33333333
1.72800000,6,8.33333333
1.73000000,6,8.33333333
1.73200000,6,8.33333333
1.73400000,6,8.33333333
1.73600000,6,8.33333333
1.73800000,6,8.33333333
1.74000000,6,8.33333333
1.74200000,6,8.33333333
1.74400000,6,8.33333333
1.74600000,5,10.00000000
1.74800000,5,10.00000000
1.75000000,5,10.00000000
1.75200000,5,10.00000000
1.75400000,5,10.00000000
1.75600000,5,10.00000000
1.75800000,5,10.00000000
1.76000000,5,10.00000000
1.76200000,5,10.00000000
1.76400000,5,10.00000000
1.76600000,5,10.00000000
1.76800000,5,10.00000000
1.77000000,5,10.00000000
1.77200000,5,10.00000000
1.77400000,5,10.00000000
1.77600000,5,10.00000000
1.77800000,5,10.00000000
1.78000000,5,10.00000000
1.78200000,4,12.50000000
1.78400000,4,12.50000000
1.78600000,4,12.50000000
1.78800000,4,12.50000000
1.79000000,4,12.50000000
1.79200000,4,12.50000000
1.79400000,4,12.50000000
1.79600000,4,12.50000000
1.79800000,4,12.50000000
1.80000000,4,12.50000000
1.80200000,4,12.50000000
1.80400000,4,12.50000000
1.80600000,4,12.50000000
1.80800000,4,12.50000000
1.81000000,4,12.50000000
1.81200000,4,12.50000000
1.81400000,4,12.50000000
1.81600000,4,12.50000000
1.81800000,4,12.50000000
1.82000000,4,12.50000000
1.82200000,4,12.50000000
1.82400000,4,12.50000000
1.82600000,4,12.50000000
1.82800000,3,16.66666667
1.83000000,3,16.66666667
1.83200000,3,16.66666667
1.83400000,3,16.66666667
1.83600000,3,16.66666667
1.83800000,3,16.66666667
1.84000000,3,16.66666667
1.84200000,3,16.66666667
1.84400000,3,16.66666667
1.84600000,3,16.66666667
1.84800000,3,16.66666667
1.85000000,3,16.66666667
1.85200000,3,16.66666667
1.85400000,3,16.66666667
1.85600000,3,16.66666667
1.85800000,3,16.66666667
1.86000000,3,16.66666667
1.86200000,3,16.66666667
1.86400000,3,16.66666667
1.86600000,3,16.66666667
1.86800000,3,16.66666667
1.87000000,3,16.66666667
1.87200000,3,16.66666667
1.87400000,3,16.66666667
1.87600000,3,16.66666667
1.87800000,3,16.66666667
1.88000000,3,16.66666667
1.88200000,3,16.66666667
1.88400000,3,16.66666667
1.88600000,3,16.66666667
1.88800000,3,16.66666667
1.89000000,3,16.66666667
1.89200000,2,25.00000000
1.89400000,2,25.00000000
1.89600000,2,25.00000000
1.89800000,2,25.00000000
1.90000000,2,25.00000000
1.90200000,2,25.00000000
1.90400000,2,25.00000000
1.90600000,2,25.00000000
1.90800000,2,25.00000000
1.91000000,2,25.00000000
1.91200000,2,25.00000000
1.91400000,2,25.00000000
1.91600000,2,25.00000000
1.91800000,2,25.00000000
1.92000000,2,25.00000000
1.92200000,2,25.00000000
1.92400000,2,25.00000000
1.92600000,2,25.00000000
1.92800000,2,25.00000000
1.93000000,2,25.00000000
1.93200000,2,25.00000000
1.93400000,2,25.00000000
1.93600000,2,25.00000000
1.93800000,2,25.00000000
1.94000000,2,25.00000000
1.94200000,2,25.00000000
1.94400000,2,25.00000000
1.94600000,2,25.00000000
1.94800000,2,25.00000000
1.95000000,2,25.00000000
1.95200000,2,25.00000000
1.95400000,2,25.00000000
1.95600000,2,25.00000000
1.95800000,2,25.00000000
1.96000000,2,25.00000000
1.96200000,1,50.00000000
1.96400000,1,50.00000000
1.96600000,1,50.00000000
